Year,City,Violations,Statistics,Value
2024,"Guelph, Ontario [35550]",Criminal negligence causing death [1150],Percent unfounded,
2021,"Guelph, Ontario [35550]",Criminal negligence causing death [1150],Total cleared,0
2022,"Guelph, Ontario [35550]",Criminal negligence causing death [1150],Total cleared,0
2023,"Guelph, Ontario [35550]",Criminal negligence causing death [1150],Total cleared,0
2024,"Guelph, Ontario [35550]",Criminal negligence causing death [1150],Total cleared,0
2021,"Guelph, Ontario [35550]",Criminal negligence causing death [1150],Cleared by charge,0
2022,"Guelph, Ontario [35550]",Criminal negligence causing death [1150],Cleared by charge,0
2023,"Guelph, Ontario [35550]",Criminal negligence causing death [1150],Cleared by charge,0
2024,"Guelph, Ontario [35550]",Criminal negligence causing death [1150],Cleared by charge,0
2021,"Guelph, Ontario [35550]",Criminal negligence causing death [1150],Cleared otherwise,0
2022,"Guelph, Ontario [35550]",Criminal negligence causing death [1150],Cleared otherwise,0
2023,"Guelph, Ontario [35550]",Criminal negligence causing death [1150],Cleared otherwise,0
2024,"Guelph, Ontario [35550]",Criminal negligence causing death [1150],Cleared otherwise,0
2021,"Guelph, Ontario [35550]",Criminal negligence causing death [1150],"Total, persons charged",0
2022,"Guelph, Ontario [35550]",Criminal negligence causing death [1150],"Total, persons charged",0
2023,"Guelph, Ontario [35550]",Criminal negligence causing death [1150],"Total, persons charged",0
2024,"Guelph, Ontario [35550]",Criminal negligence causing death [1150],"Total, persons charged",0
2021,"Guelph, Ontario [35550]",Attempted murder [1210],Actual incidents,0
2022,"Guelph, Ontario [35550]",Attempted murder [1210],Actual incidents,2
2023,"Guelph, Ontario [35550]",Attempted murder [1210],Actual incidents,0
2024,"Guelph, Ontario [35550]",Attempted murder [1210],Actual incidents,5
2021,"Guelph, Ontario [35550]",Attempted murder [1210],"Rate per 100,000 population",0
2022,"Guelph, Ontario [35550]",Attempted murder [1210],"Rate per 100,000 population",1.31
2023,"Guelph, Ontario [35550]",Attempted murder [1210],"Rate per 100,000 population",0
2024,"Guelph, Ontario [35550]",Attempted murder [1210],"Rate per 100,000 population",3.14
2021,"Guelph, Ontario [35550]",Attempted murder [1210],Percentage change in rate,
2022,"Guelph, Ontario [35550]",Attempted murder [1210],Percentage change in rate,
2023,"Guelph, Ontario [35550]",Attempted murder [1210],Percentage change in rate,
2024,"Guelph, Ontario [35550]",Attempted murder [1210],Percentage change in rate,
2021,"Guelph, Ontario [35550]",Attempted murder [1210],Percentage contribution to the Crime Severity Index (CSI),0
2022,"Guelph, Ontario [35550]",Attempted murder [1210],Percentage contribution to the Crime Severity Index (CSI),0.75
2023,"Guelph, Ontario [35550]",Attempted murder [1210],Percentage contribution to the Crime Severity Index (CSI),0
2024,"Guelph, Ontario [35550]",Attempted murder [1210],Percentage contribution to the Crime Severity Index (CSI),1.91
2021,"Guelph, Ontario [35550]",Attempted murder [1210],Unfounded incidents,0
2022,"Guelph, Ontario [35550]",Attempted murder [1210],Unfounded incidents,0
2023,"Guelph, Ontario [35550]",Attempted murder [1210],Unfounded incidents,0
2024,"Guelph, Ontario [35550]",Attempted murder [1210],Unfounded incidents,0
2021,"Guelph, Ontario [35550]",Attempted murder [1210],Percent unfounded,
2022,"Guelph, Ontario [35550]",Attempted murder [1210],Percent unfounded,0
2023,"Guelph, Ontario [35550]",Attempted murder [1210],Percent unfounded,
2024,"Guelph, Ontario [35550]",Attempted murder [1210],Percent unfounded,0
2021,"Guelph, Ontario [35550]",Attempted murder [1210],Total cleared,0
2022,"Guelph, Ontario [35550]",Attempted murder [1210],Total cleared,2
2023,"Guelph, Ontario [35550]",Attempted murder [1210],Total cleared,0
2024,"Guelph, Ontario [35550]",Attempted murder [1210],Total cleared,5
2021,"Guelph, Ontario [35550]",Attempted murder [1210],Cleared by charge,0
2022,"Guelph, Ontario [35550]",Attempted murder [1210],Cleared by charge,2
2023,"Guelph, Ontario [35550]",Attempted murder [1210],Cleared by charge,0
2024,"Guelph, Ontario [35550]",Attempted murder [1210],Cleared by charge,5
2021,"Guelph, Ontario [35550]",Attempted murder [1210],Cleared otherwise,0
2022,"Guelph, Ontario [35550]",Attempted murder [1210],Cleared otherwise,0
2023,"Guelph, Ontario [35550]",Attempted murder [1210],Cleared otherwise,0
2024,"Guelph, Ontario [35550]",Attempted murder [1210],Cleared otherwise,0
2021,"Guelph, Ontario [35550]",Attempted murder [1210],"Total, persons charged",0
2022,"Guelph, Ontario [35550]",Attempted murder [1210],"Total, persons charged",2
2023,"Guelph, Ontario [35550]",Attempted murder [1210],"Total, persons charged",0
2024,"Guelph, Ontario [35550]",Attempted murder [1210],"Total, persons charged",5
2021,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Actual incidents,118
2022,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Actual incidents,153
2023,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Actual incidents,96
2024,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Actual incidents,137
2021,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]","Rate per 100,000 population",78.52
2022,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]","Rate per 100,000 population",99.92
2023,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]","Rate per 100,000 population",61.35
2024,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]","Rate per 100,000 population",85.97
2021,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Percentage change in rate,2.11
2022,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Percentage change in rate,27.25
2023,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Percentage change in rate,-38.6
2024,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Percentage change in rate,40.13
2021,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Percentage contribution to the Crime Severity Index (CSI),6.75
2022,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Percentage contribution to the Crime Severity Index (CSI),7.92
2023,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Percentage contribution to the Crime Severity Index (CSI),5.2
2024,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Percentage contribution to the Crime Severity Index (CSI),7.26
2021,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Unfounded incidents,3
2022,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Unfounded incidents,13
2023,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Unfounded incidents,14
2024,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Unfounded incidents,5
2021,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Percent unfounded,2.48
2022,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Percent unfounded,7.83
2023,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Percent unfounded,12.73
2024,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Percent unfounded,3.52
2021,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Total cleared,49
2022,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Total cleared,72
2023,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Total cleared,45
2024,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Total cleared,82
2021,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Cleared by charge,34
2022,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Cleared by charge,56
2023,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Cleared by charge,33
2024,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Cleared by charge,51
2021,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Cleared otherwise,15
2022,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Cleared otherwise,16
2023,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Cleared otherwise,12
2024,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]",Cleared otherwise,31
2021,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]","Total, persons charged",33
2022,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]","Total, persons charged",54
2023,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]","Total, persons charged",31
2024,"Guelph, Ontario [35550]","Sexual assault, level 1 [1330]","Total, persons charged",50
2021,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Actual incidents,340
2022,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Actual incidents,446
2023,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Actual incidents,474
2024,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Actual incidents,492
2021,"Guelph, Ontario [35550]","Assault, level 1 [1430]","Rate per 100,000 population",226.25
2022,"Guelph, Ontario [35550]","Assault, level 1 [1430]","Rate per 100,000 population",291.26
2023,"Guelph, Ontario [35550]","Assault, level 1 [1430]","Rate per 100,000 population",302.91
2024,"Guelph, Ontario [35550]","Assault, level 1 [1430]","Rate per 100,000 population",308.73
2021,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Percentage change in rate,-10.56
2022,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Percentage change in rate,28.73
2023,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Percentage change in rate,4
2024,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Percentage change in rate,1.92
2021,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Percentage contribution to the Crime Severity Index (CSI),1.87
2022,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Percentage contribution to the Crime Severity Index (CSI),2.22
2023,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Percentage contribution to the Crime Severity Index (CSI),2.47
2024,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Percentage contribution to the Crime Severity Index (CSI),2.51
2021,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Unfounded incidents,15
2022,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Unfounded incidents,15
2023,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Unfounded incidents,16
2024,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Unfounded incidents,18
2021,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Percent unfounded,4.23
2022,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Percent unfounded,3.25
2023,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Percent unfounded,3.27
2024,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Percent unfounded,3.53
2021,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Total cleared,259
2022,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Total cleared,333
2023,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Total cleared,345
2024,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Total cleared,368
2021,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Cleared by charge,196
2022,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Cleared by charge,257
2023,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Cleared by charge,270
2024,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Cleared by charge,279
2021,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Cleared otherwise,63
2022,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Cleared otherwise,76
2023,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Cleared otherwise,75
2024,"Guelph, Ontario [35550]","Assault, level 1 [1430]",Cleared otherwise,89
2021,"Guelph, Ontario [35550]","Assault, level 1 [1430]","Total, persons charged",185
2022,"Guelph, Ontario [35550]","Assault, level 1 [1430]","Total, persons charged",230
2023,"Guelph, Ontario [35550]","Assault, level 1 [1430]","Total, persons charged",240
2024,"Guelph, Ontario [35550]","Assault, level 1 [1430]","Total, persons charged",256
2021,"Guelph, Ontario [35550]",Robbery [1610],Actual incidents,38
2022,"Guelph, Ontario [35550]",Robbery [1610],Actual incidents,39
2023,"Guelph, Ontario [35550]",Robbery [1610],Actual incidents,41
2024,"Guelph, Ontario [35550]",Robbery [1610],Actual incidents,53
2021,"Guelph, Ontario [35550]",Robbery [1610],"Rate per 100,000 population",25.29
2022,"Guelph, Ontario [35550]",Robbery [1610],"Rate per 100,000 population",25.47
2023,"Guelph, Ontario [35550]",Robbery [1610],"Rate per 100,000 population",26.2
2024,"Guelph, Ontario [35550]",Robbery [1610],"Rate per 100,000 population",33.26
2021,"Guelph, Ontario [35550]",Robbery [1610],Percentage change in rate,-35.37
2022,"Guelph, Ontario [35550]",Robbery [1610],Percentage change in rate,0.72
2023,"Guelph, Ontario [35550]",Robbery [1610],Percentage change in rate,2.87
2024,"Guelph, Ontario [35550]",Robbery [1610],Percentage change in rate,26.94
2021,"Guelph, Ontario [35550]",Robbery [1610],Percentage contribution to the Crime Severity Index (CSI),3.72
2022,"Guelph, Ontario [35550]",Robbery [1610],Percentage contribution to the Crime Severity Index (CSI),3.46
2023,"Guelph, Ontario [35550]",Robbery [1610],Percentage contribution to the Crime Severity Index (CSI),3.81
2024,"Guelph, Ontario [35550]",Robbery [1610],Percentage contribution to the Crime Severity Index (CSI),4.81
2021,"Guelph, Ontario [35550]",Robbery [1610],Unfounded incidents,0
2022,"Guelph, Ontario [35550]",Robbery [1610],Unfounded incidents,0
2023,"Guelph, Ontario [35550]",Robbery [1610],Unfounded incidents,0
2024,"Guelph, Ontario [35550]",Robbery [1610],Unfounded incidents,1
2021,"Guelph, Ontario [35550]",Robbery [1610],Percent unfounded,0
2022,"Guelph, Ontario [35550]",Robbery [1610],Percent unfounded,0
2023,"Guelph, Ontario [35550]",Robbery [1610],Percent unfounded,0
2024,"Guelph, Ontario [35550]",Robbery [1610],Percent unfounded,1.85
2021,"Guelph, Ontario [35550]",Robbery [1610],Total cleared,20
2022,"Guelph, Ontario [35550]",Robbery [1610],Total cleared,20
2023,"Guelph, Ontario [35550]",Robbery [1610],Total cleared,23
2024,"Guelph, Ontario [35550]",Robbery [1610],Total cleared,42
2021,"Guelph, Ontario [35550]",Robbery [1610],Cleared by charge,20
2022,"Guelph, Ontario [35550]",Robbery [1610],Cleared by charge,18
2023,"Guelph, Ontario [35550]",Robbery [1610],Cleared by charge,19
2024,"Guelph, Ontario [35550]",Robbery [1610],Cleared by charge,40
2021,"Guelph, Ontario [35550]",Robbery [1610],Cleared otherwise,0
2022,"Guelph, Ontario [35550]",Robbery [1610],Cleared otherwise,2
2023,"Guelph, Ontario [35550]",Robbery [1610],Cleared otherwise,4
2024,"Guelph, Ontario [35550]",Robbery [1610],Cleared otherwise,2
2021,"Guelph, Ontario [35550]",Robbery [1610],"Total, persons charged",25
2022,"Guelph, Ontario [35550]",Robbery [1610],"Total, persons charged",28
2023,"Guelph, Ontario [35550]",Robbery [1610],"Total, persons charged",26
2024,"Guelph, Ontario [35550]",Robbery [1610],"Total, persons charged",51
2021,"Guelph, Ontario [35550]",Total impaired driving [910],Actual incidents,139
2022,"Guelph, Ontario [35550]",Total impaired driving [910],Actual incidents,153
2023,"Guelph, Ontario [35550]",Total impaired driving [910],Actual incidents,142
2024,"Guelph, Ontario [35550]",Total impaired driving [910],Actual incidents,115
2021,"Guelph, Ontario [35550]",Total impaired driving [910],"Rate per 100,000 population",92.5
2022,"Guelph, Ontario [35550]",Total impaired driving [910],"Rate per 100,000 population",99.92
2023,"Guelph, Ontario [35550]",Total impaired driving [910],"Rate per 100,000 population",90.74
2024,"Guelph, Ontario [35550]",Total impaired driving [910],"Rate per 100,000 population",72.16
2021,"Guelph, Ontario [35550]",Total impaired driving [910],Percentage change in rate,3.1
2022,"Guelph, Ontario [35550]",Total impaired driving [910],Percentage change in rate,8.02
2023,"Guelph, Ontario [35550]",Total impaired driving [910],Percentage change in rate,-9.18
2024,"Guelph, Ontario [35550]",Total impaired driving [910],Percentage change in rate,-20.48
2021,"Guelph, Ontario [35550]",Total impaired driving [910],Percentage contribution to the Crime Severity Index (CSI),0.45
2022,"Guelph, Ontario [35550]",Total impaired driving [910],Percentage contribution to the Crime Severity Index (CSI),0.38
2023,"Guelph, Ontario [35550]",Total impaired driving [910],Percentage contribution to the Crime Severity Index (CSI),0.39
2024,"Guelph, Ontario [35550]",Total impaired driving [910],Percentage contribution to the Crime Severity Index (CSI),0.31
2021,"Guelph, Ontario [35550]",Total impaired driving [910],Unfounded incidents,0
2022,"Guelph, Ontario [35550]",Total impaired driving [910],Unfounded incidents,0
2023,"Guelph, Ontario [35550]",Total impaired driving [910],Unfounded incidents,0
2024,"Guelph, Ontario [35550]",Total impaired driving [910],Unfounded incidents,0
2021,"Guelph, Ontario [35550]",Total impaired driving [910],Percent unfounded,0
2022,"Guelph, Ontario [35550]",Total impaired driving [910],Percent unfounded,0
2023,"Guelph, Ontario [35550]",Total impaired driving [910],Percent unfounded,0
2024,"Guelph, Ontario [35550]",Total impaired driving [910],Percent unfounded,0
2021,"Guelph, Ontario [35550]",Total impaired driving [910],Total cleared,138
2022,"Guelph, Ontario [35550]",Total impaired driving [910],Total cleared,152
2023,"Guelph, Ontario [35550]",Total impaired driving [910],Total cleared,144
2024,"Guelph, Ontario [35550]",Total impaired driving [910],Total cleared,115
2021,"Guelph, Ontario [35550]",Total impaired driving [910],Cleared by charge,136
2022,"Guelph, Ontario [35550]",Total impaired driving [910],Cleared by charge,149
2023,"Guelph, Ontario [35550]",Total impaired driving [910],Cleared by charge,137
2024,"Guelph, Ontario [35550]",Total impaired driving [910],Cleared by charge,115
2021,"Guelph, Ontario [35550]",Total impaired driving [910],Cleared otherwise,2
2022,"Guelph, Ontario [35550]",Total impaired driving [910],Cleared otherwise,3
2023,"Guelph, Ontario [35550]",Total impaired driving [910],Cleared otherwise,7
2024,"Guelph, Ontario [35550]",Total impaired driving [910],Cleared otherwise,0
2021,"Guelph, Ontario [35550]",Total impaired driving [910],"Total, persons charged",135
2022,"Guelph, Ontario [35550]",Total impaired driving [910],"Total, persons charged",151
2023,"Guelph, Ontario [35550]",Total impaired driving [910],"Total, persons charged",137
2024,"Guelph, Ontario [35550]",Total impaired driving [910],"Total, persons charged",115
2021,"Guelph, Ontario [35550]",Total drug violations [401],Actual incidents,121
2022,"Guelph, Ontario [35550]",Total drug violations [401],Actual incidents,102
2023,"Guelph, Ontario [35550]",Total drug violations [401],Actual incidents,90
2024,"Guelph, Ontario [35550]",Total drug violations [401],Actual incidents,118
2021,"Guelph, Ontario [35550]",Total drug violations [401],"Rate per 100,000 population",80.52
2022,"Guelph, Ontario [35550]",Total drug violations [401],"Rate per 100,000 population",66.61
2023,"Guelph, Ontario [35550]",Total drug violations [401],"Rate per 100,000 population",57.51
2024,"Guelph, Ontario [35550]",Total drug violations [401],"Rate per 100,000 population",74.05
2021,"Guelph, Ontario [35550]",Total drug violations [401],Percentage change in rate,-20.95
2022,"Guelph, Ontario [35550]",Total drug violations [401],Percentage change in rate,-17.27
2023,"Guelph, Ontario [35550]",Total drug violations [401],Percentage change in rate,-13.66
2024,"Guelph, Ontario [35550]",Total drug violations [401],Percentage change in rate,28.74
2021,"Guelph, Ontario [35550]",Total drug violations [401],Percentage contribution to the Crime Severity Index (CSI),2.61
2022,"Guelph, Ontario [35550]",Total drug violations [401],Percentage contribution to the Crime Severity Index (CSI),2.9
2023,"Guelph, Ontario [35550]",Total drug violations [401],Percentage contribution to the Crime Severity Index (CSI),2.83
2024,"Guelph, Ontario [35550]",Total drug violations [401],Percentage contribution to the Crime Severity Index (CSI),3.29
2021,"Guelph, Ontario [35550]",Total drug violations [401],Unfounded incidents,0
2022,"Guelph, Ontario [35550]",Total drug violations [401],Unfounded incidents,0
2023,"Guelph, Ontario [35550]",Total drug violations [401],Unfounded incidents,0
2024,"Guelph, Ontario [35550]",Total drug violations [401],Unfounded incidents,0
2021,"Guelph, Ontario [35550]",Total drug violations [401],Percent unfounded,0
2022,"Guelph, Ontario [35550]",Total drug violations [401],Percent unfounded,0
2023,"Guelph, Ontario [35550]",Total drug violations [401],Percent unfounded,0
2024,"Guelph, Ontario [35550]",Total drug violations [401],Percent unfounded,0
2021,"Guelph, Ontario [35550]",Total drug violations [401],Total cleared,122
2022,"Guelph, Ontario [35550]",Total drug violations [401],Total cleared,100
2023,"Guelph, Ontario [35550]",Total drug violations [401],Total cleared,89
2024,"Guelph, Ontario [35550]",Total drug violations [401],Total cleared,119
2021,"Guelph, Ontario [35550]",Total drug violations [401],Cleared by charge,110
2022,"Guelph, Ontario [35550]",Total drug violations [401],Cleared by charge,94
2023,"Guelph, Ontario [35550]",Total drug violations [401],Cleared by charge,84
2024,"Guelph, Ontario [35550]",Total drug violations [401],Cleared by charge,81
2021,"Guelph, Ontario [35550]",Total drug violations [401],Cleared otherwise,12
2022,"Guelph, Ontario [35550]",Total drug violations [401],Cleared otherwise,6
2023,"Guelph, Ontario [35550]",Total drug violations [401],Cleared otherwise,5
2024,"Guelph, Ontario [35550]",Total drug violations [401],Cleared otherwise,38
2021,"Guelph, Ontario [35550]",Total drug violations [401],"Total, persons charged",125
2022,"Guelph, Ontario [35550]",Total drug violations [401],"Total, persons charged",110
2023,"Guelph, Ontario [35550]",Total drug violations [401],"Total, persons charged",116
2024,"Guelph, Ontario [35550]",Total drug violations [401],"Total, persons charged",90
2021,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Actual incidents,33877
2022,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Actual incidents,34041
2023,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Actual incidents,32382
2024,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Actual incidents,31702
2021,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]","Rate per 100,000 population",5945.41
2022,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]","Rate per 100,000 population",5791.04
2023,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]","Rate per 100,000 population",5320.2
2024,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]","Rate per 100,000 population",5053.81
2021,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Percentage change in rate,1.52
2022,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Percentage change in rate,-2.6
2023,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Percentage change in rate,-8.13
2024,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Percentage change in rate,-5.01
2021,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Percentage contribution to the Crime Severity Index (CSI),97.66
2022,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Percentage contribution to the Crime Severity Index (CSI),97.8
2023,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Percentage contribution to the Crime Severity Index (CSI),96.98
2024,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Percentage contribution to the Crime Severity Index (CSI),96.51
2021,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Unfounded incidents,925
2022,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Unfounded incidents,508
2023,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Unfounded incidents,464
2024,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Unfounded incidents,282
2021,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Percent unfounded,2.66
2022,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Percent unfounded,1.47
2023,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Percent unfounded,1.41
2024,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Percent unfounded,0.88
2021,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Total cleared,9588
2022,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Total cleared,9757
2023,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Total cleared,10388
2024,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Total cleared,11354
2021,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Cleared by charge,7447
2022,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Cleared by charge,8050
2023,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Cleared by charge,8885
2024,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Cleared by charge,9901
2021,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Cleared otherwise,2141
2022,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Cleared otherwise,1707
2023,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Cleared otherwise,1503
2024,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]",Cleared otherwise,1453
2021,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]","Total, persons charged",7084
2022,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]","Total, persons charged",7684
2023,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]","Total, persons charged",8387
2024,"London, Ontario [35555]","Total, all Criminal Code violations (including traffic) [25]","Total, persons charged",9159
2021,"London, Ontario [35555]",Homicide [110],Actual incidents,16
2022,"London, Ontario [35555]",Homicide [110],Actual incidents,7
2023,"London, Ontario [35555]",Homicide [110],Actual incidents,8
2024,"London, Ontario [35555]",Homicide [110],Actual incidents,10
2021,"London, Ontario [35555]",Homicide [110],"Rate per 100,000 population",2.81
2022,"London, Ontario [35555]",Homicide [110],"Rate per 100,000 population",1.19
2023,"London, Ontario [35555]",Homicide [110],"Rate per 100,000 population",1.31
2024,"London, Ontario [35555]",Homicide [110],"Rate per 100,000 population",1.59
2021,"London, Ontario [35555]",Homicide [110],Percentage change in rate,97
2022,"London, Ontario [35555]",Homicide [110],Percentage change in rate,-57.59
2023,"London, Ontario [35555]",Homicide [110],Percentage change in rate,10.37
2024,"London, Ontario [35555]",Homicide [110],Percentage change in rate,21.29
2021,"London, Ontario [35555]",Homicide [110],Percentage contribution to the Crime Severity Index (CSI),4.4
2022,"London, Ontario [35555]",Homicide [110],Percentage contribution to the Crime Severity Index (CSI),2.29
2023,"London, Ontario [35555]",Homicide [110],Percentage contribution to the Crime Severity Index (CSI),2.08
2024,"London, Ontario [35555]",Homicide [110],Percentage contribution to the Crime Severity Index (CSI),3.46
2021,"London, Ontario [35555]",Homicide [110],Unfounded incidents,0
2022,"London, Ontario [35555]",Homicide [110],Unfounded incidents,0
2023,"London, Ontario [35555]",Homicide [110],Unfounded incidents,0
2024,"London, Ontario [35555]",Homicide [110],Unfounded incidents,0
2021,"London, Ontario [35555]",Homicide [110],Percent unfounded,0
2022,"London, Ontario [35555]",Homicide [110],Percent unfounded,0
2023,"London, Ontario [35555]",Homicide [110],Percent unfounded,0
2024,"London, Ontario [35555]",Homicide [110],Percent unfounded,0
2021,"London, Ontario [35555]",Homicide [110],Total cleared,15
2022,"London, Ontario [35555]",Homicide [110],Total cleared,7
2023,"London, Ontario [35555]",Homicide [110],Total cleared,8
2024,"London, Ontario [35555]",Homicide [110],Total cleared,10
2021,"London, Ontario [35555]",Homicide [110],Cleared by charge,15
2022,"London, Ontario [35555]",Homicide [110],Cleared by charge,7
2023,"London, Ontario [35555]",Homicide [110],Cleared by charge,7
2024,"London, Ontario [35555]",Homicide [110],Cleared by charge,9
2021,"London, Ontario [35555]",Homicide [110],Cleared otherwise,0
2022,"London, Ontario [35555]",Homicide [110],Cleared otherwise,0
2023,"London, Ontario [35555]",Homicide [110],Cleared otherwise,1
2024,"London, Ontario [35555]",Homicide [110],Cleared otherwise,1
2021,"London, Ontario [35555]",Homicide [110],"Total, persons charged",18
2022,"London, Ontario [35555]",Homicide [110],"Total, persons charged",8
